,35076296-35282086,41062669-41447005,42161364-42296514,85450052-85962613,41458670-41494331,84542006-85443011,42301553-42639030,43036086-43085236,42648686-42873571,39280577-40847517,85986743-87258350,70574871-71644041,41307174-41912419,70462057-70560603,83810013-84520659,40859120-40926154,38035466-38070950,38035466-38070950,82881635-83804633,64727853-66012212,51241859-52425218,29882787-30323137,97852156-98629015,72645832-73204852,135286400-135498058,43100477-43148025,193425674-193467200,199333505-199383479,196972157-199325300,135272442-135280233,26999547-27819338,122710361-123097090,135520431-136095714,143686906-144718154,193476462-196656506,115539064-119256600,41011530-41041674,119263604-122326220,70379430-70453985,77023447-82859962,88551907-88910171,131304839-132036965,30716764-30984527,70422297-70698794,132048194-133414796,135204537-135259324,39139634-39275931,133447975-135173194,27765928-29080585,57531034-59041688,186745732-193414542,37055494-37151062,37055494-37151062,63574243-64694907,22399576-22459548,22485675-22508198,611289-618999,63340667-63566937,62137202-62802242,27418631-27637052,89106148-90015649,60060494-62081511,69274433-70345552,22725750-22731544,6356121-7863271,6356121-7863271,122354776-122673457,181189842-185001990,128614174-131296266,822927-1136619,29088543-30687222,18550170-19001738,196947293-196962380,37314955-37412772,137852057-143671669,74674175-74721164,30532205-30922368,166639991-168786545,14553443-16323782,90696859-92322330,59087176-60039028,31006782-31124964,150224239-152555267,73217711-73482351,126241146-127397419,70716278-70721505,127419048-128608361,40072147-41213949,23930054-23946476,54887816-57494566,101760344-102800128,113685697-115481584,37416931-38029088,181148817-181183735,1535319-2846224,22742616-23009582,49299695-51238169,75706042-77012738,125139481-126167412,166452-181530,62807597-63330914,136561135-136680507,52473664-54879669,123114345-125128655,142831583-149027600,94141519-97140822,30926421-30953397,164454066-166625316,98643996-98870746,110490286-110621141,38784700-39114890,66035532-66948440,184617-808139,111038086-111980766,23022675-23926329,92329775-94134731,168804852-170462923,68281534-69298703,111990899-112201862,75396411-75693696,43357607-45400818,185013005-186735226,31521603-32950474,164112881-164333847,45197191-45278938,154006451-157875296,126178515-126234252,24876788-26191987,67337260-68268028,22560433-22614479,655129-1291357,30561643-31835555,71710336-71905426,36083031-36242899,42652021-43322780,73523915-74655845,26758077-27414811,334423-600935,30490486-30520567,93328253-96508341,45285715-45505568,41917843-42643973,41293579-41298170,80681800-81065819,97156507-97840955,4933188-6340443,150148732-150201145,136159988-136555576,173645852-176989598,90034143-91964331,28922568-30224848,28922568-30224848,23641542-23815398,27829159-28903600,30330617-30480991,85623360-89090699,146738-154410,144727213-153247166,2851182-4639919,41221190-41290227,164343718-164427869,70752359-71062539,37028146-37290782,12512986-14535258,45954673-46028196,112208462-113294566,68785515-68850823,106401543-108269233,108294479-109435745,108294479-109435745,48882141-49169293,196908262-196937230,69315717-70369674,66954549-67332062,139119957-139765820
Array.129,2,-1,-1,0,-1,0,-1,-1,-1,-1,0,1,0,1,0,-1,-1,-1,0,1,1,-1,0,1,2,-1,0,0,0,1,-1,1,2,-1,0,1,-1,1,1,0,0,1,0,-1,1,1,-1,1,0,1,0,-1,-1,1,-1,-1,0,1,1,0,0,1,-1,-1,0,0,1,0,1,-1,0,0,0,-1,0,1,-1,0,0,0,1,0,0,1,1,-1,1,0,-1,1,0,1,-1,0,0,-1,1,0,1,0,1,1,1,1,0,0,-1,0,0,1,-1,1,-1,1,-1,0,0,1,1,0,0,0,0,0,0,0,1,-1,1,-1,0,0,1,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,2,1,-1,1,1,1,1,0,1,1,1
Array.34,0,0,0,1,0,1,0,0,0,0,1,2,0,2,-1,0,0,0,-1,2,0,0,0,1,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,-1,2,-1,1,-1,-1,0,-1,-1,0,-1,0,0,0,1,1,2,0,0,0,0,0,0,-1,2,0,0,0,0,-1,0,-1,-1,0,0,0,1,0,-1,0,0,0,1,-1,0,-1,1,-1,0,-1,0,0,0,-1,-1,1,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,1,0,0,0,-1,1,2,-1,-1,0,1,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,-1,0,-1
Array.67,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0,0,-1
Array.24,0,1,1,0,1,0,1,1,1,1,0,-1,0,-1,0,1,1,1,0,-1,0,-1,-1,-1,-1,1,0,0,0,-1,1,-1,-1,-1,0,-1,1,-1,-1,-1,0,-1,1,-1,-1,-1,1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,0,-1,0,1,0,0,0,-1,-1,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,0,1,0,-1,-1,0,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1
Array.22,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,1,0,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,1,0,0,-1,1,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,0,0,1,0,0,0,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,-1,0,-1,0,0,0,0,0,-1,-1,1,1,0,-1,0,0,1,0,-1,0,-1,-1,-1,0,0,0,0,-1
Array.36,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0
Array.49,2,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,1,0,1,0,1,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,0,1,1,0,1,1,0,0,0,-1,0,0,-1,0,2,2,0,0,0,-1,-1,2,0,2,0,1,1,0,1,0,0,-1,-1,1,0,-1,0,-1,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,-1,1,-1,0,0,0,0,1,0,1,-1,0,1,0,1,-1,0,1,1,0,0,0,1,1,-1,1,-1,0,1,-1,1,-1,-1,0,0,1,-1,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,-1,2,2,1,0,-1,0,0,0,1,0,0,1,0
Array.16,2,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,1,1,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,2,-1,0,-1,0,1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,1,1,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,1,0,-1,0,-1,0,0,0,1,0,0,0,0
Array.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.143,2,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,1,0,0,0,-1,-1,0,0,0,1,0,0,0,0,-1,-1,-1,0,1,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0,0,1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,1,0,-1,-1,0,-1,-1,1,0,1,-1,0,0,0,-1,-1,0,0,-1,0,1,1,0,0,0,-1,1,0,1,0,0,0,-1,0,0,0,0,-1,0,1,1,0,0,1,0,-1,0,1,0,1,0,0,0,1,-1,1,1,-1,-1,0,1,0,0,0,0,0,-1,1,0,-1,0,1,-1,-1,1,1,0,0,0,-1,0,-1,0,1,1,0,1,1,0,0,1,0,1,1,-1,-1,0,2,0,-1,0,0,0,1,1,0,0,0
Array.65,0,0,1,0,0,0,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,-1,0,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,0,-1,1,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,-1,0,-1,0,1,1,-1,-1,0,0,1,1,0,0,-1,0,0,1,0,1,1,-1,-1,-1,0,0,1,-1,0,-1,-1,-1,0,-1,0,-1,0,0,0,-1,0,1,0,0,1,-1,0,-1,-1,-1,1,0,0,0,-1
Array.62,0,1,1,0,1,0,1,1,1,1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0
Array.4,2,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,1,1,1,0,0,-1,0,0,-1,0,1,1,0,0,0,-1,-1,1,0,-1,-1,0,1,0,1,0,0,-1,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,2,0,-1,0,0,-1,0,0,-1,0,-1,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,2,0,0,-1,0,0,-1,1,1,-1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,-1,2,-1,0,-1,0,0,0,-1,-1,0,0,0
Array.76,2,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,0,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,2,0,0,0,-1
Array.118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,-1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Array.154,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,2,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,2,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,2,1,0,1,1,0,1,0,0,0,1,1,1,-1,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Array.48,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,-1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,-1,1,0,-1,0,0,0,1,0,-1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,-1,-1,1,0,0,1,1,0,-1,1,1,0,-1,1,0,1,0,1,1,1,1,1,0,1,1,-1,0,-1,1,1,1,0,1,-1,1,-1,1,1,1,0,-1,1,0,0,1,1,1,-1,1,0,0,1,0,1,-1,-1,-1,1,0,1,0,1,-1,-1,-1,1,-1,1,-1,0,0,0,-1,1,0,2,0,1,0,0,0,0,0,1,0,1,1,0
Array.6,2,-1,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,1,0,0,0,0,-1,0,0,0,1,1,0,0,0,-1,0,1,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,-1,0,0,1,0,-1,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Array.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
